Time (ps),Temperature (K)
0.000000,282.002869

1.000000,314.632080

2.000000,320.929962

3.000000,299.208984

4.000000,294.878418

5.000000,294.034180

6.000000,290.206390

7.000000,297.175140

8.000000,289.260010

9.000000,306.214111

10.000000,295.391113

11.000000,304.701050

12.000000,295.389404

13.000000,295.108307

14.000000,308.750488

15.000000,309.433350

16.000000,296.725067

17.000000,290.628235

18.000000,333.150085

19.000000,288.713928

20.000000,313.847168

21.000000,292.805450

22.000000,320.216461

23.000000,322.788391

24.000000,310.536041

25.000000,289.699707

26.000000,310.675446

27.000000,299.600067

28.000000,307.720154

29.000000,316.133362

30.000000,294.694000

31.000000,292.603760

32.000000,290.588684

33.000000,312.883362

34.000000,284.643890

35.000000,275.491089

36.000000,320.651642

37.000000,290.782745

38.000000,290.215057

39.000000,311.258636

40.000000,326.860931

41.000000,288.994720

42.000000,317.406342

43.000000,294.861481

44.000000,310.313812

45.000000,294.546143

46.000000,277.234070

47.000000,296.101471

48.000000,296.941315

49.000000,296.873016

50.000000,301.661926

51.000000,285.660095

52.000000,302.309601

53.000000,305.546173

54.000000,266.669739

55.000000,281.540344

56.000000,326.568787

57.000000,290.212677

58.000000,296.593384

59.000000,287.359375

60.000000,311.564423

61.000000,316.784332

62.000000,291.505463

63.000000,311.273987

64.000000,299.689819

65.000000,298.157898

66.000000,294.944061

67.000000,306.240112

68.000000,313.210510

69.000000,317.670746

70.000000,287.340698

71.000000,309.185394

72.000000,295.947968

73.000000,301.094574

74.000000,289.126587

75.000000,284.512512

76.000000,305.428131

77.000000,293.433472

78.000000,310.820587

79.000000,282.569458

80.000000,310.370087

81.000000,303.674194

82.000000,291.302948

83.000000,299.372650

84.000000,316.219910

85.000000,315.288757

86.000000,291.778259

87.000000,295.292847

88.000000,304.753662

89.000000,304.047119

90.000000,312.621765

91.000000,286.152130

92.000000,320.886688

93.000000,295.315369

94.000000,306.010223

95.000000,284.540314

96.000000,302.808777

97.000000,290.580078

98.000000,304.317596

99.000000,312.339539

100.000000,301.277557

101.000000,303.796539

102.000000,308.085510

103.000000,317.943146

104.000000,316.710663

105.000000,279.404053

106.000000,281.909332

107.000000,289.671631

108.000000,301.675018

109.000000,290.961334

110.000000,323.941223

111.000000,293.183289

112.000000,300.400299

113.000000,302.063049

114.000000,294.206482

115.000000,310.532867

116.000000,298.733307

117.000000,286.014496

118.000000,298.377594

119.000000,305.382080

120.000000,295.858765

121.000000,306.931641

122.000000,307.064240

123.000000,289.037659

124.000000,299.581421

125.000000,302.179199

126.000000,288.367584

127.000000,314.317108

128.000000,306.294189

129.000000,305.473175

130.000000,286.701691

131.000000,312.874115

132.000000,304.599487

133.000000,290.292511

134.000000,300.112366

135.000000,307.432831

136.000000,315.059937

137.000000,293.301575

138.000000,303.650391

139.000000,321.984741

140.000000,299.341980

141.000000,304.812164

142.000000,295.049835

143.000000,300.013824

144.000000,313.444153

145.000000,281.613190

146.000000,302.778564

147.000000,289.730316

148.000000,307.940216

149.000000,289.762726

150.000000,300.941833

151.000000,320.260834

152.000000,297.335175

153.000000,289.914948

154.000000,311.325531

155.000000,295.622467

156.000000,317.217072

157.000000,314.992340

158.000000,305.292175

159.000000,294.950531

160.000000,302.797974

161.000000,285.335907

162.000000,299.566986

163.000000,309.376862

164.000000,318.825256

165.000000,297.751953

166.000000,294.534393

167.000000,304.783752

168.000000,306.666931

169.000000,302.864441

170.000000,311.375549

171.000000,289.647583

172.000000,303.108124

173.000000,312.927643

174.000000,301.918671

175.000000,312.435425

176.000000,280.988312

177.000000,293.108643

178.000000,299.142670

179.000000,297.651123

180.000000,307.136169

181.000000,277.598785

182.000000,305.408356

183.000000,330.937164

184.000000,317.277740

185.000000,299.708679

186.000000,283.655548

187.000000,294.454346

188.000000,289.379272

189.000000,299.087280

190.000000,294.088989

191.000000,306.749878

192.000000,303.672516

193.000000,282.050415

194.000000,302.043732

195.000000,283.321014

196.000000,309.214722

197.000000,294.868958

198.000000,298.430908

199.000000,290.429352

200.000000,283.695190

201.000000,302.453827

202.000000,304.605591

203.000000,298.159912

204.000000,301.736755

205.000000,304.307404

206.000000,319.722626

207.000000,321.423401

208.000000,311.432770

209.000000,264.486969

210.000000,296.100433

211.000000,292.969391

212.000000,307.239807

213.000000,293.214111

214.000000,286.283691

215.000000,294.389374

216.000000,281.495544

217.000000,319.629791

218.000000,319.792999

219.000000,307.670929

220.000000,305.183441

221.000000,294.288666

222.000000,293.810760

223.000000,303.289154

224.000000,292.667236

225.000000,308.796082

226.000000,298.657288

227.000000,284.793457

228.000000,302.268616

229.000000,296.393280

230.000000,299.561676

231.000000,297.654144

232.000000,299.126556

233.000000,331.556885

234.000000,275.605408

235.000000,301.963470

236.000000,298.153351

237.000000,294.553436

238.000000,318.347992

239.000000,297.529083

240.000000,294.525452

241.000000,299.562897

242.000000,295.143951

243.000000,317.511658

244.000000,304.158051

245.000000,304.084869

246.000000,282.445953

247.000000,275.251953

248.000000,302.737976

249.000000,301.164124

250.000000,277.163330

251.000000,279.584076

252.000000,290.302429

253.000000,317.679749

254.000000,284.154022

255.000000,300.486908

256.000000,288.386536

257.000000,282.448700

258.000000,323.281677

259.000000,295.205261

260.000000,319.435974

261.000000,299.719604

262.000000,298.640381

263.000000,290.431366

264.000000,322.848358

265.000000,301.197296

266.000000,298.427002

267.000000,294.091217

268.000000,305.553040

269.000000,293.734772

270.000000,297.913544

271.000000,308.247620

272.000000,284.998657

273.000000,290.382324

274.000000,288.808594

275.000000,299.318787

276.000000,308.122833

277.000000,285.877533

278.000000,313.690369

279.000000,314.062042

280.000000,313.579895

281.000000,293.478302

282.000000,298.701935

283.000000,304.566162

284.000000,313.047150

285.000000,311.623688

286.000000,312.454224

287.000000,306.528839

288.000000,281.575592

289.000000,303.522888

290.000000,308.238159

291.000000,318.062927

292.000000,301.470673

293.000000,317.758453

294.000000,311.471832

295.000000,258.990234

296.000000,296.563416

297.000000,274.997498

298.000000,297.488068

299.000000,282.252289

300.000000,289.583496

301.000000,305.185913

302.000000,314.625824

303.000000,288.806274

304.000000,303.073029

305.000000,321.911743

306.000000,303.440491

307.000000,300.538910

308.000000,284.814209

309.000000,319.240509

310.000000,290.794128

311.000000,294.698425

312.000000,303.718018

313.000000,292.603851

314.000000,287.427155

315.000000,289.985840

316.000000,301.533997

317.000000,288.490784

318.000000,314.599945

319.000000,305.449341

320.000000,296.544006

321.000000,295.226288

322.000000,304.337219

323.000000,299.966919

324.000000,308.684021

325.000000,282.183411

326.000000,294.692322

327.000000,281.353088

328.000000,300.318268

329.000000,324.351349

330.000000,302.006348

331.000000,314.708527

332.000000,287.630249

333.000000,284.060120

334.000000,295.996613

335.000000,316.610596

336.000000,293.022919

337.000000,299.468750

338.000000,294.263763

339.000000,286.166718

340.000000,292.995544

341.000000,315.655151

342.000000,290.490997

343.000000,302.214874

344.000000,288.583801

345.000000,297.915710

346.000000,299.476227

347.000000,302.887970

348.000000,318.968262

349.000000,316.478607

350.000000,299.737030

351.000000,286.963165

352.000000,316.789917

353.000000,298.416534

354.000000,292.504822

355.000000,288.941406

356.000000,312.479523

357.000000,304.483154

358.000000,314.234802

359.000000,287.416290

360.000000,309.070618

361.000000,299.297180

362.000000,292.820221

363.000000,300.028259

364.000000,288.767731

365.000000,319.837280

366.000000,293.855103

367.000000,283.348541

368.000000,301.374939

369.000000,285.553406

370.000000,302.925293

371.000000,298.966919

372.000000,290.582306

373.000000,298.881104

374.000000,314.571503

375.000000,320.477997

376.000000,283.778809

377.000000,278.951935

378.000000,288.384735

379.000000,288.242859

380.000000,314.067047

381.000000,295.531647

382.000000,296.356171

383.000000,298.097626

384.000000,300.624725

385.000000,294.733185

386.000000,305.731750

387.000000,293.737000

388.000000,303.190430

389.000000,295.317535

390.000000,302.445923

391.000000,308.286652

392.000000,312.791412

393.000000,313.547882

394.000000,303.514648

395.000000,300.048645

396.000000,285.562897

397.000000,315.048065

398.000000,310.977142

399.000000,299.412415

400.000000,284.792908

401.000000,312.382294

402.000000,286.290894

403.000000,334.360504

404.000000,291.427490

405.000000,304.455475

406.000000,318.911407

407.000000,287.338806

408.000000,308.754913

409.000000,291.114624

410.000000,300.014832

411.000000,305.648407

412.000000,300.209381

413.000000,321.179443

414.000000,286.985168

415.000000,281.251160

416.000000,295.997864

417.000000,298.641022

418.000000,296.232819

419.000000,284.049957

420.000000,314.324432

421.000000,294.813568

422.000000,295.824646

423.000000,288.094757

424.000000,302.430756

425.000000,297.857819

426.000000,303.228973

427.000000,317.255371

428.000000,298.768494

429.000000,312.661438

430.000000,317.571167

431.000000,283.995331

432.000000,307.126465

433.000000,304.469116

434.000000,298.561676

435.000000,287.394440

436.000000,303.756805

437.000000,300.646942

438.000000,295.324127

439.000000,323.958191

440.000000,318.712524

441.000000,291.112030

442.000000,314.781250

443.000000,300.564514

444.000000,313.567535

445.000000,314.705688

446.000000,299.242615

447.000000,303.302826

448.000000,305.920746

449.000000,294.280182

450.000000,300.823730

451.000000,306.771820

452.000000,295.014404

453.000000,314.724518

454.000000,288.383759

455.000000,290.624390

456.000000,320.536224

457.000000,300.990997

458.000000,287.644775

459.000000,291.693787

460.000000,307.734131

461.000000,291.287170

462.000000,308.152710

463.000000,302.075989

464.000000,291.230011

465.000000,296.780792

466.000000,301.639069

467.000000,301.010132

468.000000,304.316528

469.000000,293.028839

470.000000,305.363556

471.000000,298.847229

472.000000,291.449921

473.000000,276.298981

474.000000,288.558960

475.000000,298.963470

476.000000,314.305664

477.000000,289.710175

478.000000,302.303986

479.000000,297.163544

480.000000,291.685486

481.000000,314.358643

482.000000,299.786194

483.000000,314.470184

484.000000,292.674652

485.000000,300.388916

486.000000,299.083679

487.000000,298.485107

488.000000,290.359161

489.000000,305.358215

490.000000,298.804260

491.000000,309.472717

492.000000,311.343994

493.000000,300.066162

494.000000,292.412598

495.000000,307.573639

496.000000,288.550964

497.000000,303.445435

498.000000,307.648407

499.000000,300.704712

500.000000,298.510468

501.000000,304.277374

502.000000,300.870239

503.000000,284.451447

504.000000,279.541931

505.000000,285.840088

506.000000,305.456909

507.000000,299.627228

508.000000,302.995544

509.000000,312.208771

510.000000,297.926208

511.000000,321.355957

512.000000,308.141327

513.000000,296.960541

514.000000,294.168274

515.000000,304.188232

516.000000,296.780182

517.000000,294.839508

518.000000,309.200897

519.000000,307.488739

520.000000,304.533508

521.000000,283.648041

522.000000,292.110229

523.000000,289.298828

524.000000,296.574036

525.000000,284.767151

526.000000,299.152466

527.000000,293.279907

528.000000,303.867218

529.000000,286.400696

530.000000,296.116272

531.000000,282.985657

532.000000,289.861084

533.000000,291.245239

534.000000,314.376587

535.000000,302.144562

536.000000,291.654266

537.000000,303.469208

538.000000,296.036285

539.000000,283.745361

540.000000,297.638397

541.000000,298.914215

542.000000,278.262909

543.000000,294.715637

544.000000,294.133911

545.000000,284.996063

546.000000,303.035553

547.000000,305.046875

548.000000,301.561920

549.000000,306.220276

550.000000,300.906219

551.000000,314.237640

552.000000,289.528625

553.000000,285.409210

554.000000,321.367859

555.000000,288.951538

556.000000,323.606537

557.000000,298.946014

558.000000,296.864777

559.000000,298.717682

560.000000,318.566742

561.000000,318.754333

562.000000,290.569977

563.000000,283.812073

564.000000,288.549286

565.000000,290.325623

566.000000,293.008331

567.000000,307.697662

568.000000,288.983063

569.000000,294.986145

570.000000,307.998596

571.000000,296.184601

572.000000,282.452789

573.000000,291.459778

574.000000,309.599609

575.000000,296.447845

576.000000,282.854401

577.000000,307.191284

578.000000,299.514771

579.000000,303.111938

580.000000,300.645721

581.000000,294.530243

582.000000,292.234650

583.000000,304.512604

584.000000,300.413422

585.000000,311.302582

586.000000,307.871429

587.000000,314.792755

588.000000,291.764038

589.000000,293.722443

590.000000,301.438782

591.000000,295.261505

592.000000,287.449707

593.000000,300.345856

594.000000,296.278320

595.000000,300.322327

596.000000,293.656952

597.000000,286.395721

598.000000,305.747101

599.000000,305.440399

600.000000,286.381165

601.000000,297.823456

602.000000,304.608887

603.000000,300.082642

604.000000,289.921570

605.000000,277.799713

606.000000,300.794220

607.000000,285.896179

608.000000,304.896484

609.000000,290.752899

610.000000,307.374939

611.000000,298.808258

612.000000,311.487793

613.000000,292.538483

614.000000,320.221344

615.000000,311.095490

616.000000,287.706268

617.000000,300.394714

618.000000,290.372528

619.000000,308.773956

620.000000,315.055939

621.000000,300.896454

622.000000,306.362152

623.000000,290.596191

624.000000,297.664429

625.000000,314.054047

626.000000,273.845612

627.000000,296.106598

628.000000,289.310211

629.000000,307.297699

630.000000,295.598328

631.000000,298.430206

632.000000,302.293182

633.000000,274.474945

634.000000,286.263397

635.000000,308.217743

636.000000,292.748474

637.000000,305.186646

638.000000,305.074768

639.000000,291.282837

640.000000,305.323151

641.000000,297.860229

642.000000,313.484985

643.000000,294.777191

644.000000,295.594910

645.000000,294.255188

646.000000,295.008636

647.000000,315.572815

648.000000,312.971466

649.000000,305.694336

650.000000,304.557770

651.000000,306.430664

652.000000,308.691376

653.000000,309.006195

654.000000,293.263855

655.000000,291.095490

656.000000,306.800720

657.000000,307.138397

658.000000,286.874115

659.000000,304.089050

660.000000,298.289551

661.000000,289.342773

662.000000,303.970947

663.000000,310.843964

664.000000,289.928589

665.000000,297.903259

666.000000,297.235260

667.000000,280.764221

668.000000,295.576721

669.000000,315.471558

670.000000,286.104553

671.000000,285.014526

672.000000,290.837036

673.000000,276.577759

674.000000,306.048187

675.000000,297.884521

676.000000,312.061554

677.000000,284.463715

678.000000,304.004578

679.000000,306.844635

680.000000,310.533508

681.000000,287.214844

682.000000,302.379456

683.000000,310.319214

684.000000,300.056335

685.000000,293.275330

686.000000,309.196777

687.000000,294.363495

688.000000,318.602112

689.000000,302.946350

690.000000,314.770142

691.000000,300.750031

692.000000,326.953094

693.000000,325.012604

694.000000,297.125549

695.000000,286.442200

696.000000,305.199341

697.000000,305.037781

698.000000,300.797638

699.000000,316.628204

700.000000,295.365051

701.000000,293.647186

702.000000,312.127228

703.000000,297.400421

704.000000,297.672028

705.000000,292.698578

706.000000,304.825928

707.000000,297.731506

708.000000,289.362701

709.000000,307.529510

710.000000,291.933685

711.000000,288.983307

712.000000,306.407104

713.000000,301.743042

714.000000,280.911652

715.000000,294.398407

716.000000,288.038849

717.000000,285.717163

718.000000,297.292755

719.000000,308.574371

720.000000,286.277527

721.000000,298.479675

722.000000,297.894196

723.000000,295.818848

724.000000,300.484772

725.000000,277.101410

726.000000,277.029968

727.000000,300.895508

728.000000,290.998108

729.000000,280.457642

730.000000,314.786469

731.000000,280.804443

732.000000,296.666656

733.000000,299.629059

734.000000,331.837250

735.000000,282.633270

736.000000,289.001221

737.000000,298.694702

738.000000,300.264252

739.000000,306.837433

740.000000,285.293976

741.000000,296.157440

742.000000,312.198853

743.000000,311.089874

744.000000,295.689697

745.000000,305.055359

746.000000,307.527313

747.000000,299.761932

748.000000,303.987000

749.000000,309.600372

750.000000,303.629028

751.000000,319.712860

752.000000,276.599823

753.000000,298.021637

754.000000,298.112793

755.000000,302.440887

756.000000,298.155579

757.000000,287.694183

758.000000,305.604492

759.000000,287.772125

760.000000,297.159546

761.000000,290.382416

762.000000,287.114471

763.000000,305.559509

764.000000,302.598358

765.000000,298.750244

766.000000,305.487610

767.000000,294.179932

768.000000,273.627197

769.000000,291.526367

770.000000,305.153870

771.000000,301.039886

772.000000,291.220947

773.000000,275.800171

774.000000,294.892914

775.000000,297.824371

776.000000,301.288422

777.000000,318.221161

778.000000,301.198456

779.000000,326.650543

780.000000,272.810974

781.000000,304.560303

782.000000,296.097565

783.000000,297.998077

784.000000,293.345215

785.000000,302.966339

786.000000,278.225922

787.000000,312.144623

788.000000,284.272736

789.000000,304.192810

790.000000,324.169800

791.000000,297.269409

792.000000,286.362610

793.000000,308.640167

794.000000,307.249756

795.000000,300.374664

796.000000,314.567688

797.000000,293.818665

798.000000,292.407990

799.000000,290.440918

800.000000,299.213135

801.000000,304.082550

802.000000,289.484650

803.000000,301.545258

804.000000,301.166870

805.000000,293.368469

806.000000,300.625610

807.000000,286.487671

808.000000,290.196381

809.000000,308.171844

810.000000,312.505707

811.000000,298.800873

812.000000,279.402954

813.000000,270.649200

814.000000,313.654816

815.000000,299.306671

816.000000,302.079468

817.000000,289.238159

818.000000,308.520020

819.000000,312.374054

820.000000,301.026428

821.000000,291.827423

822.000000,288.172333

823.000000,297.521332

824.000000,309.785431

825.000000,306.759888

826.000000,296.822052

827.000000,304.911041

828.000000,302.859009

829.000000,288.077209

830.000000,300.558105

831.000000,288.527405

832.000000,288.528595

833.000000,300.974548

834.000000,302.648743

835.000000,298.625214

836.000000,304.491455

837.000000,290.235626

838.000000,292.383759

839.000000,290.735687

840.000000,291.555176

841.000000,308.139160

842.000000,298.722656

843.000000,337.356812

844.000000,295.317688

845.000000,310.433533

846.000000,285.212402

847.000000,285.989807

848.000000,292.494354

849.000000,300.380280

850.000000,319.143097

851.000000,302.936890

852.000000,293.760040

853.000000,294.556580

854.000000,291.033234

855.000000,295.582489

856.000000,289.834381

857.000000,297.812592

858.000000,315.187134

859.000000,287.438202

860.000000,297.118317

861.000000,280.698181

862.000000,296.413239

863.000000,292.322296

864.000000,296.938599

865.000000,295.631226

866.000000,293.333252

867.000000,310.823730

868.000000,286.746063

869.000000,298.317993

870.000000,294.808044

871.000000,284.888062

872.000000,267.632965

873.000000,294.828369

874.000000,307.415527

875.000000,289.735291

876.000000,275.572266

877.000000,303.584625

878.000000,330.955902

879.000000,293.393402

880.000000,298.638184

881.000000,305.382263

882.000000,298.017487

883.000000,284.644989

884.000000,294.057007

885.000000,276.437134

886.000000,292.591064

887.000000,325.589264

888.000000,296.335968

889.000000,288.411346

890.000000,297.561981

891.000000,321.884888

892.000000,285.332031

893.000000,316.869446

894.000000,316.802887

895.000000,308.954346

896.000000,289.357452

897.000000,305.769043

898.000000,297.977142

899.000000,315.771973

900.000000,309.163147

901.000000,297.673889

902.000000,288.126160

903.000000,303.081848

904.000000,292.805786

905.000000,295.675232

906.000000,293.430847

907.000000,296.287384

908.000000,286.061432

909.000000,292.410797

910.000000,286.354889

911.000000,285.406067

912.000000,298.209564

913.000000,308.878204

914.000000,312.230469

915.000000,295.264679

916.000000,333.855103

917.000000,266.892426

918.000000,302.834747

919.000000,301.621185

920.000000,311.627930

921.000000,289.295135

922.000000,313.937561

923.000000,301.813477

924.000000,285.720734

925.000000,289.040283

926.000000,294.019653

927.000000,317.553528

928.000000,296.231689

929.000000,302.892029

930.000000,308.977081

931.000000,292.242065

932.000000,285.473663

933.000000,293.719055

934.000000,282.125702

935.000000,293.704651

936.000000,292.758423

937.000000,314.581543

938.000000,307.053345

939.000000,300.748962

940.000000,301.390594

941.000000,287.219421

942.000000,318.304901

943.000000,304.976929

944.000000,306.305298

945.000000,309.652405

946.000000,292.388336

947.000000,298.838959

948.000000,280.083588

949.000000,303.660187

950.000000,316.374847

951.000000,292.142975

952.000000,311.349457

953.000000,297.568848

954.000000,279.583557

955.000000,293.567017

956.000000,292.779846

957.000000,305.797577

958.000000,332.821381

959.000000,280.569153

960.000000,299.520355

961.000000,294.859344

962.000000,294.695404

963.000000,288.267914

964.000000,283.823486

965.000000,277.472168

966.000000,287.344330

967.000000,278.340149

968.000000,300.745300

969.000000,302.036041

970.000000,302.010925

971.000000,300.066437

972.000000,292.111511

973.000000,294.945984

974.000000,275.472473

975.000000,287.618805

976.000000,295.291992

977.000000,319.416656

978.000000,307.957184

979.000000,298.439972

980.000000,300.624390

981.000000,310.562775

982.000000,301.356720

983.000000,293.580902

984.000000,283.521820

985.000000,314.313751

986.000000,302.330139

987.000000,287.465607

988.000000,283.843475

989.000000,297.895447

990.000000,289.424561

991.000000,300.493195

992.000000,286.330139

993.000000,311.342804

994.000000,288.046234

995.000000,313.634003

996.000000,279.994965

997.000000,285.457733

998.000000,288.483795

999.000000,312.795166

1000.000000,283.743866

